serial,name,value,notes
16-50327,CC_a0,1.22403434e-003,
16-50327,CC_a1,2.83320534e-004,
16-50327,CC_a2,-2.15220159e-006,
16-50327,CC_a3,2.21620832e-007,
16-50327,CC_cpcor,-9.57000000e-008,
16-50327,CC_ctcor,3.2500e-006,
16-50327,CC_g,-1.00106133e+000,
16-50327,CC_h,1.55500642e-001,
16-50327,CC_i,-1.42278124e-004,
16-50327,CC_j,3.26370315e-005,
16-50327,CC_pa0,9.72884298e-002,
16-50327,CC_pa1,9.02103579e-003,
16-50327,CC_pa2,2.59077009e-011,
16-50327,CC_ptca0,5.26355668e+005,
16-50327,CC_ptca1,-7.76820910e+000,
16-50327,CC_ptca2,4.01027236e-001,
16-50327,CC_ptcb0,1.02758985e+002,
16-50327,CC_ptcb1,1.42554693e-003,
16-50327,CC_ptcb2,0.00000000e+000,
16-50327,CC_ptempa0,-8.43595253e+001,
16-50327,CC_ptempa1,4.02048688e+001,
16-50327,CC_ptempa2,1.26600297e+000,
16-50327,CC_offset,0,
