serial,name,value,notes
16-50326,CC_a0,1.28531597e-003,
16-50326,CC_a1,2.70029146e-004,
16-50326,CC_a2,-9.36778624e-007,
16-50326,CC_a3,1.69181888e-007,
16-50326,CC_cpcor,-9.57000000e-008,
16-50326,CC_ctcor,3.2500e-006,
16-50326,CC_g,-1.00229872e+000,
16-50326,CC_h,1.42805493e-001,
16-50326,CC_i,-8.37012206e-005,
16-50326,CC_j,2.23103883e-005,
16-50326,CC_pa0,-2.34586029e-001,
16-50326,CC_pa1,8.85348753e-003,
16-50326,CC_pa2,3.69354753e-011,
16-50326,CC_ptca0,5.23536244e+005,
16-50326,CC_ptca1,-9.52546682e+000,
16-50326,CC_ptca2,4.13386725e-001,
16-50326,CC_ptcb0,2.51377500e+001,
16-50326,CC_ptcb1,1.50000000e-004,
16-50326,CC_ptcb2,0.00000000e+000,
16-50326,CC_ptempa0,-8.84663339e+001,
16-50326,CC_ptempa1,4.02480955e+001,
16-50326,CC_ptempa2,1.91089125e+000,
16-50326,CC_offset,0,
