serial,name,value,notes
16-50209,CC_a0,1.27740560e-003,
16-50209,CC_a1,2.66708098e-004,
16-50209,CC_a2,-3.40206803e-007,
16-50209,CC_a3,1.49864886e-007,
16-50209,CC_cpcor,-9.57000000e-008,
16-50209,CC_ctcor,3.2500e-006,
16-50209,CC_g,-1.01483007e+000,
16-50209,CC_h,1.26793197e-001,
16-50209,CC_i,-6.18937192e-005,
16-50209,CC_j,2.01155414e-005,
16-50209,CC_pa0,2.29806409e+000,
16-50209,CC_pa1,8.86042481e-003,
16-50209,CC_pa2,-1.71571721e-010,
16-50209,CC_ptca0,5.24280836e+005,
16-50209,CC_ptca1,1.61408913e+001,
16-50209,CC_ptca2,-2.00226865e-001,
16-50209,CC_ptcb0,2.45622500e+001,
16-50209,CC_ptcb1,-3.50000000e-004,
16-50209,CC_ptcb2,0.00000000e+000,
16-50209,CC_ptempa0,-5.48433319e+001,
16-50209,CC_ptempa1,5.38399332e+001,
16-50209,CC_ptempa2,-3.37397119e-001,
16-50209,CC_offset,0,
