serial,name,value,notes
16-6943,CC_a0,1.26459805e-003,
16-6943,CC_a1,2.77219747e-004,
16-6943,CC_a2,-1.87878428e-006,
16-6943,CC_a3,2.11171506e-007,
16-6943,CC_cpcor,-9.57000000e-008,
16-6943,CC_ctcor,3.2500e-006,
16-6943,CC_g,-1.02082350e+000,
16-6943,CC_h,1.45466065e-001,
16-6943,CC_i,-6.07011463e-005,
16-6943,CC_j,2.70656197e-005,
16-6943,CC_pa0,1.98084892e+000,
16-6943,CC_pa1,1.57084966e-002,
16-6943,CC_pa2,-6.45280780e-010,
16-6943,CC_ptca0,5.25040334e+005,
16-6943,CC_ptca1,6.23267910e+000,
16-6943,CC_ptca2,7.85120520e-004,
16-6943,CC_ptcb0,2.51220000e+001,
16-6943,CC_ptcb1,-2.00000000e-004,
16-6943,CC_ptcb2,0.00000000e+000,
16-6943,CC_ptempa0,-6.87484863e+001,
16-6943,CC_ptempa1,5.06078696e+001,
16-6943,CC_ptempa2,-2.55076451e-001,
16-6943,CC_offset,0,
