serial,name,value,notes
16-50321,CC_a0,1.21928945e-003,
16-50321,CC_a1,2.81138529e-004,
16-50321,CC_a2,-1.58435994e-006,
16-50321,CC_a3,2.00377274e-007,
16-50321,CC_cpcor,-9.57000000e-008,
16-50321,CC_ctcor,3.2500e-006,
16-50321,CC_g,-1.01811097e+000,
16-50321,CC_h,1.45017019e-001,
16-50321,CC_i,-2.57781002e-004,
16-50321,CC_j,3.87786989e-005,
16-50321,CC_pa0,-4.51200627e-001,
16-50321,CC_pa1,8.99223899e-003,
16-50321,CC_pa2,7.19739236e-011,
16-50321,CC_ptca0,5.27255771e+005,
16-50321,CC_ptca1,-1.04041764e+001,
16-50321,CC_ptca2,3.75908445e-001,
16-50321,CC_ptcb0,1.03147342e+002,
16-50321,CC_ptcb1,3.53294914e-004,
16-50321,CC_ptcb2,0.00000000e+000,
16-50321,CC_ptempa0,-8.82289250e+001,
16-50321,CC_ptempa1,4.11694038e+001,
16-50321,CC_ptempa2,1.60511139e+000,
16-50321,CC_offset,0,
