serial,name,value,notes
16-50325,CC_a0,1.24250547e-003,
16-50325,CC_a1,2.72958296e-004,
16-50325,CC_a2,-6.13102259e-007,
16-50325,CC_a3,1.59269997e-007,
16-50325,CC_cpcor,-9.57000000e-008,
16-50325,CC_ctcor,3.2500e-006,
16-50325,CC_g,-1.01144777e+000,
16-50325,CC_h,1.48257590e-001,
16-50325,CC_i,-1.92113264e-004,
16-50325,CC_j,3.44809011e-005,
16-50325,CC_pa0,-2.84132092e-001,
16-50325,CC_pa1,8.92845732e-003,
16-50325,CC_pa2,2.85432459e-011,
16-50325,CC_ptca0,5.27803099e+005,
16-50325,CC_ptca1,-9.71106453e+000,
16-50325,CC_ptca2,3.58191715e-001,
16-50325,CC_ptcb0,1.04189051e+002,
16-50325,CC_ptcb1,-6.66425769e-003,
16-50325,CC_ptcb2,0.00000000e+000,
16-50325,CC_ptempa0,-8.81921687e+001,
16-50325,CC_ptempa1,4.13422705e+001,
16-50325,CC_ptempa2,1.26810042e+000,
16-50325,CC_offset,0,
