serial,name,value,notes
16-50128,CC_a0,1.20561639e-003,
16-50128,CC_a1,2.79112364e-004,
16-50128,CC_a2,-9.36322578e-007,
16-50128,CC_a3,1.80501048e-007,
16-50128,CC_cpcor,-9.57000000e-008,
16-50128,CC_ctcor,3.2500e-006,
16-50128,CC_g,-9.99291858e-001,
16-50128,CC_h,1.54225180e-001,
16-50128,CC_i,-1.75122050e-004,
16-50128,CC_j,3.85829350e-005,
16-50128,CC_pa0,1.89181231e+000,
16-50128,CC_pa1,1.56557861e-002,
16-50128,CC_pa2,-6.56566113e-010,
16-50128,CC_ptca0,5.25495962e+005,
16-50128,CC_ptca1,8.28780401e+000,
16-50128,CC_ptca2,-1.30096182e-001,
16-50128,CC_ptcb0,2.51935062e+001,
16-50128,CC_ptcb1,-4.98753117e-004,
16-50128,CC_ptcb2,0.00000000e+000,
16-50128,CC_ptempa0,-6.15023594e+001,
16-50128,CC_ptempa1,5.10504397e+001,
16-50128,CC_ptempa2,-5.93254583e-002,
16-50128,CC_offset,0,
