serial,name,value,notes
16-50601,CC_a0,1.25813122e-003,
16-50601,CC_a1,2.73691791e-004,
16-50601,CC_a2,-1.07189771e-006,
16-50601,CC_a3,1.74860903e-007,
16-50601,CC_cpcor,-9.57000000e-008,
16-50601,CC_ctcor,3.2500e-006,
16-50601,CC_g,-1.00371003e+000,
16-50601,CC_h,1.19002605e-001,
16-50601,CC_i,-1.58842607e-004,
16-50601,CC_j,2.51910346e-005,
16-50601,CC_pa0,1.31933248e-001,
16-50601,CC_pa1,8.74259762e-003,
16-50601,CC_pa2,8.32769380e-011,
16-50601,CC_ptca0,5.25807201e+005,
16-50601,CC_ptca1,-9.04227118e+000,
16-50601,CC_ptca2,4.23740371e-001,
16-50601,CC_ptcb0,1.05500261e+002,
16-50601,CC_ptcb1,-1.02045398e-002,
16-50601,CC_ptcb2,0.00000000e+000,
16-50601,CC_ptempa0,-9.13262072e+001,
16-50601,CC_ptempa1,4.01012644e+001,
16-50601,CC_ptempa2,2.09711152e+000,
16-50601,CC_offset,0,
