CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
TN313,,,,RS03INT2-MJ03D-05-OBSSPA305,1,1,2014-07-21T06:36:00,,RS03INT2-MJ03D-0000,ATAPL-65244-00029,ATAPL-58331-00001,45.925720,-129.978031,,1527,1527,,,
TN313,,,,RS03INT2-MJ03D-06-BOTPTA303,1,1,2014-07-24T22:28:00,,RS03INT2-MJ03D-0000,ATAPL-65244-00029,ATAPL-58316-00002,45.925790,-129.977499,,1529,1529,,,
TN313,,,,RS03INT2-MJ03D-12-VEL3DB304,1,1,2014-07-24T23:20:00,2016-07-26T00:00:00,RS03INT2-MJ03D-0000,ATAPL-65244-00029,ATAPL-67979-00002,45.925860,-129.977806,,1527,1527,,,
SKQ201610S,,,,RS03INT2-MJ03D-12-VEL3DB304,2,1,2016-07-26T23:10:00,2018-07-05T00:00:00,RS03INT2-MJ03D-0000,ATAPL-65244-00036,ATAPL-67979-00009,45.925827,-129.977671,,1531,1531,,,
RR1810,,,,RS03INT2-MJ03D-12-VEL3DB304,3,1,2018-07-05T00:00:00,,RS03INT2-MJ03D-0000,ATAPL-65244-00023,ATAPL-67979-00003,45.925795,-129.977581,,1531,1531,,,
AT50-29,,,,RS03INT2-MJ03D-11-CTDPFB307,1,1,2024-09-01T03:36:00,,RS03INT2-MJ03D-0000,ATAPL-65244-00023,ATCWK-67627-00012,45.925775,-129.977619,,1528,1528,,,
