serial,name,value,notes
16-7231,CC_C1,-5.507252e+003,
16-7231,CC_C2,4.970180e-003,
16-7231,CC_C3,1.178160e-003,
16-7231,CC_D1,7.076000e-002,
16-7231,CC_D2,0.000000e+000,
16-7231,CC_T1,3.027281e+001,
16-7231,CC_T2,-1.357560e-004,
16-7231,CC_T3,2.857710e-006,
16-7231,CC_T4,2.208810e-009,
16-7231,CC_T5,0.000000e+000,
16-7231,CC_a0,1.26522865e-003,
16-7231,CC_a1,2.71794240e-004,
16-7231,CC_a2,-8.39949061e-007,
16-7231,CC_a3,1.68519083e-007,
16-7231,CC_cpcor,-9.57000000e-008,
16-7231,CC_ctcor,3.2500e-006,
16-7231,CC_g,-1.00096776e+000,
16-7231,CC_h,1.40358784e-001,
16-7231,CC_i,-3.22787381e-004,
16-7231,CC_j,4.53429075e-005,
