serial,name,value,notes
16-50019,CC_a0,1.24260687e-003,
16-50019,CC_a1,2.75667389e-004,
16-50019,CC_a2,-1.19007473e-006,
16-50019,CC_a3,1.83646780e-007,
16-50019,CC_cpcor,-9.57000000e-008,
16-50019,CC_ctcor,3.2500e-006,
16-50019,CC_g,-1.00197842e+000,
16-50019,CC_h,1.43691133e-001,
16-50019,CC_i,-2.37936294e-004,
16-50019,CC_j,3.99752987e-005,
16-50019,CC_pa0,1.10395304e-001,
16-50019,CC_pa1,1.54648832e-003,
16-50019,CC_pa2,6.79187363e-012,
16-50019,CC_ptca0,5.25416920e+005,
16-50019,CC_ptca1,5.67023716e+000,
16-50019,CC_ptca2,-1.10217674e-001,
16-50019,CC_ptcb0,2.50478750e+001,
16-50019,CC_ptcb1,-2.50000000e-005,
16-50019,CC_ptcb2,0.00000000e+000,
16-50019,CC_ptempa0,-6.54942402e+001,
16-50019,CC_ptempa1,5.20321645e+001,
16-50019,CC_ptempa2,-2.94280416e-001,
16-50019,CC_offset,0,
