serial,name,value,notes
16-50123,CC_a0,1.23901744e-003,
16-50123,CC_a1,2.78641948e-004,
16-50123,CC_a2,-1.55550360e-006,
16-50123,CC_a3,2.01988606e-007,
16-50123,CC_cpcor,-9.57000000e-008,
16-50123,CC_ctcor,3.2500e-006,
16-50123,CC_g,-9.70188068e-001,
16-50123,CC_h,1.54307002e-001,
16-50123,CC_i,-1.90572054e-004,
16-50123,CC_j,4.10551798e-005,
16-50123,CC_pa0,-4.68419509e-001,
16-50123,CC_pa1,1.54365181e-003,
16-50123,CC_pa2,9.44892445e-012,
16-50123,CC_ptca0,5.24186972e+005,
16-50123,CC_ptca1,-1.21442324e+001,
16-50123,CC_ptca2,-7.27384474e-002,
16-50123,CC_ptcb0,2.48597500e+001,
16-50123,CC_ptcb1,3.50000000e-004,
16-50123,CC_ptcb2,0.00000000e+000,
16-50123,CC_ptempa0,-7.70226086e+001,
16-50123,CC_ptempa1,4.78549463e+001,
16-50123,CC_ptempa2,-2.20692761e-001,
16-50123,CC_offset,0,
