serial,name,value,notes
16-50122,CC_a0,1.25598457e-003,
16-50122,CC_a1,2.73509788e-004,
16-50122,CC_a2,-1.06689352e-006,
16-50122,CC_a3,1.78686088e-007,
16-50122,CC_cpcor,-9.57000000e-008,
16-50122,CC_ctcor,3.2500e-006,
16-50122,CC_g,-1.01693875e+000,
16-50122,CC_h,1.60418812e-001,
16-50122,CC_i,-1.82016715e-004,
16-50122,CC_j,4.02040823e-005,
16-50122,CC_pa0,1.87324428e-001,
16-50122,CC_pa1,1.54934150e-003,
16-50122,CC_pa2,5.19282367e-012,
16-50122,CC_ptca0,5.24195660e+005,
16-50122,CC_ptca1,7.80036086e+000,
16-50122,CC_ptca2,-1.01511585e-001,
16-50122,CC_ptcb0,2.48492500e+001,
16-50122,CC_ptcb1,2.50000000e-004,
16-50122,CC_ptcb2,0.00000000e+000,
16-50122,CC_ptempa0,-8.16424684e+001,
16-50122,CC_ptempa1,4.67014648e+001,
16-50122,CC_ptempa2,-1.19177327e-001,
16-50122,CC_offset,0,
