serial,name,value,notes
16-50118,CC_a0,1.26420414e-003,
16-50118,CC_a1,2.72224444e-004,
16-50118,CC_a2,-1.05345125e-006,
16-50118,CC_a3,1.76114392e-007,
16-50118,CC_cpcor,-9.57000000e-008,
16-50118,CC_ctcor,3.2500e-006,
16-50118,CC_g,-9.96569792e-001,
16-50118,CC_h,1.38776468e-001,
16-50118,CC_i,-2.04271495e-004,
16-50118,CC_j,3.70148046e-005,
16-50118,CC_pa0,9.88652795e-002,
16-50118,CC_pa1,1.55278035e-003,
16-50118,CC_pa2,6.94090950e-012,
16-50118,CC_ptca0,5.24511005e+005,
16-50118,CC_ptca1,5.40579854e+000,
16-50118,CC_ptca2,-1.13857112e-001,
16-50118,CC_ptcb0,2.49785000e+001,
16-50118,CC_ptcb1,1.00000000e-004,
16-50118,CC_ptcb2,0.00000000e+000,
16-50118,CC_ptempa0,-7.65772375e+001,
16-50118,CC_ptempa1,4.54952972e+001,
16-50118,CC_ptempa2,2.39024672e-001,
16-50118,CC_offset,0,
