serial,name,value,notes
16-50115,CC_a0,1.21388570e-003,
16-50115,CC_a1,2.84030903e-004,
16-50115,CC_a2,-1.98508859e-006,
16-50115,CC_a3,2.22035194e-007,
16-50115,CC_cpcor,-9.57000000e-008,
16-50115,CC_ctcor,3.2500e-006,
16-50115,CC_g,-9.76303988e-001,
16-50115,CC_h,1.54192827e-001,
16-50115,CC_i,-2.05706009e-004,
16-50115,CC_j,3.97952825e-005,
16-50115,CC_pa0,8.26459507e-002,
16-50115,CC_pa1,1.54974155e-003,
16-50115,CC_pa2,6.00454622e-012,
16-50115,CC_ptca0,5.24078486e+005,
16-50115,CC_ptca1,5.88116268e+000,
16-50115,CC_ptca2,-1.56574570e-001,
16-50115,CC_ptcb0,2.50182500e+001,
16-50115,CC_ptcb1,5.00000000e-005,
16-50115,CC_ptcb2,0.00000000e+000,
16-50115,CC_ptempa0,-7.90335552e+001,
16-50115,CC_ptempa1,4.53688055e+001,
16-50115,CC_ptempa2,2.08288542e-001,
16-50115,CC_offset,0,
