serial,name,value,notes
16-50127,CC_a0,1.25592982e-003,
16-50127,CC_a1,2.65885008e-004,
16-50127,CC_a2,3.58245860e-007,
16-50127,CC_a3,1.24772881e-007,
16-50127,CC_cpcor,-9.57000000e-008,
16-50127,CC_ctcor,3.2500e-006,
16-50127,CC_g,-9.74934299e-001,
16-50127,CC_h,1.49056059e-001,
16-50127,CC_i,-1.72823568e-004,
16-50127,CC_j,3.66052782e-005,
16-50127,CC_pa0,-1.85762963e-002,
16-50127,CC_pa1,1.55046983e-003,
16-50127,CC_pa2,6.41936876e-012,
16-50127,CC_ptca0,5.24107415e+005,
16-50127,CC_ptca1,1.45801074e-001,
16-50127,CC_ptca2,-3.21513597e-002,
16-50127,CC_ptcb0,2.49553750e+001,
16-50127,CC_ptcb1,-1.25000000e-004,
16-50127,CC_ptcb2,0.00000000e+000,
16-50127,CC_ptempa0,-7.83771728e+001,
16-50127,CC_ptempa1,4.69705695e+001,
16-50127,CC_ptempa2,-3.60640522e-002,
16-50127,CC_offset,0,
