serial,name,value,notes
ACS-191,CC_acwo,"[-1.800012, -1.696685, -1.605804, -1.524514, -1.442974, -1.349195, -1.235436, -1.103326, -0.962553, -0.822095, -0.697344, -0.592865, -0.502051, -0.420551, -0.344197, -0.271047, -0.1994, -0.128588, -0.05998, 0.007015, 0.072606, 0.135528, 0.196067, 0.254271, 0.309845, 0.363566, 0.414681, 0.463178, 0.509273, 0.553335, 0.597479, 0.64031, 0.681058, 0.720326, 0.758054, 0.794053, 0.828722, 0.8622, 0.895001, 0.927205, 0.957998, 0.98641, 1.012047, 1.015766, 1.03669, 1.053606, 1.066455, 1.074091, 1.075853, 1.073868, 1.07393, 1.081889, 1.098001, 1.11855, 1.139798, 1.160615, 1.180394, 1.199386, 1.216755, 1.231784, 1.244056, 1.251625, 1.25552, 1.257835, 1.262131, 1.268584, 1.274527, 1.277447, 1.274657, 1.263933, 1.243988, 1.213061, 1.170449, 1.115062, 1.042594, 0.950421, 0.832731, 0.684794, 0.506668, 0.300641, 0.063138, -0.188844, -0.422875]",
ACS-191,CC_awlngth,"[400.1, 402.5, 405.1, 407.1, 408.7, 410.7, 413.4, 417.1, 422.2, 427.6, 432.2, 436.1, 440.3, 444.2, 449.0, 453.2, 457.3, 461.1, 465.7, 470.1, 475.4, 480.1, 484.8, 489.2, 493.5, 497.7, 502.4, 506.8, 511.6, 516.5, 521.0, 525.4, 529.4, 533.4, 537.5, 541.6, 546.1, 550.2, 554.6, 559.1, 563.7, 567.6, 571.7, 572.5, 576.4, 580.5, 584.6, 588.6, 592.7, 597.2, 601.6, 606.1, 610.7, 615.2, 619.7, 624.0, 628.2, 632.4, 636.5, 640.7, 645.1, 649.8, 654.0, 658.5, 662.9, 667.3, 671.8, 675.8, 680.4, 684.2, 688.1, 692.0, 695.7, 699.6, 703.6, 707.1, 710.5, 715.0, 718.9, 722.2, 726.2, 730.5, 734.0]",
ACS-191,CC_ccwo,"[-1.844325, -1.653842, -1.430546, -1.216695, -1.03106, -0.893015, -0.819427, -0.801221, -0.794538, -0.781257, -0.73783, -0.664652, -0.57601, -0.492074, -0.415268, -0.350916, -0.294921, -0.246568, -0.205403, -0.165361, -0.128903, -0.093341, -0.058718, -0.02947, -0.001688, 0.023195, 0.04432, 0.06577, 0.090332, 0.115555, 0.1428, 0.174199, 0.20446, 0.230483, 0.255806, 0.277623, 0.295553, 0.311603, 0.326956, 0.341548, 0.354445, 0.365242, 0.372765, 0.373396, 0.375141, 0.372375, 0.365738, 0.354685, 0.339825, 0.32777, 0.326167, 0.333939, 0.346572, 0.359729, 0.370784, 0.385201, 0.393882, 0.404625, 0.414524, 0.417576, 0.417823, 0.413535, 0.409515, 0.407015, 0.406443, 0.407142, 0.398631, 0.387773, 0.369322, 0.340626, 0.30146, 0.25074, 0.186787, 0.110151, 0.010839, -0.113074, -0.266003, -0.450287, -0.658796, -0.896795, -1.143144, -1.364086, -1.470053]",
ACS-191,CC_cwlngth,"[400.0, 402.5, 405.0, 407.3, 409.1, 410.7, 413.2, 416.7, 421.5, 426.7, 431.3, 436.1, 439.8, 444.2, 448.5, 452.9, 457.1, 461.1, 465.5, 470.1, 475.2, 479.9, 484.6, 489.0, 493.4, 497.7, 502.1, 506.8, 511.6, 516.3, 521.1, 525.4, 529.6, 533.5, 537.7, 541.8, 546.3, 550.4, 555.0, 559.4, 563.7, 567.8, 572.0, 575.6, 579.3, 583.7, 587.4, 592.0, 596.2, 600.9, 605.3, 609.8, 614.5, 619.2, 623.2, 627.5, 631.7, 635.8, 640.0, 644.8, 648.9, 653.5, 657.8, 662.6, 666.7, 671.3, 675.5, 679.6, 683.7, 687.6, 691.8, 695.4, 698.9, 703.1, 706.5, 710.7, 714.5, 718.4, 721.9, 725.7, 729.9, 734.0, 738.0]",
ACS-191,CC_taarray,SheetRef:CC_taarray,
ACS-191,CC_tbins,"[1.534107, 2.43806, 3.467073, 4.473333, 5.494615, 6.489091, 7.503913, 8.506667, 9.4825, 10.484, 11.486667, 12.4968, 13.49875, 14.5116, 15.493913, 16.4888, 17.495, 18.4928, 19.5076, 20.493333, 21.4768, 22.4948, 23.495, 24.48, 25.4952, 26.5032, 27.4932, 28.489615, 29.503077, 30.493077, 31.496667, 32.502414, 33.510625, 34.5075]",
ACS-191,CC_tcal,21.6,
ACS-191,CC_tcarray,SheetRef:CC_tcarray,
