serial,name,value,notes
ACS-250,CC_acwo,"[0.341577, 0.433536, 0.512397, 0.587403, 0.669819, 0.766628, 0.880407, 1.00732, 1.139895, 1.268133, 1.377957, 1.470407, 1.550467, 1.6237, 1.693504, 1.760829, 1.827115, 1.891926, 1.954904, 2.01571, 2.074902, 2.131604, 2.186438, 2.238399, 2.287808, 2.334616, 2.37797, 2.418713, 2.456629, 2.492912, 2.52883, 2.563013, 2.59504, 2.625077, 2.653313, 2.679154, 2.703186, 2.725957, 2.74774, 2.768794, 2.789018, 2.807902, 2.825123, 2.83985, 2.851672, 2.84982, 2.84978, 2.844979, 2.834225, 2.819789, 2.806709, 2.800973, 2.802986, 2.809417, 2.816891, 2.82447, 2.831028, 2.836992, 2.842121, 2.845474, 2.846454, 2.843854, 2.836992, 2.826972, 2.817384, 2.810068, 2.804986, 2.799376, 2.790865, 2.777733, 2.758349, 2.731515, 2.696133, 2.651136, 2.595672, 2.526588, 2.442643, 2.340855, 2.219311, 2.076968, 1.910707, 1.722115, 1.513064, 1.29413, 1.086756]",
ACS-250,CC_awlngth,"[398.4, 401.8, 405.0, 408.4, 411.6, 414.8, 418.3, 422.2, 426.3, 430.4, 434.1, 437.7, 441.4, 445.6, 450.0, 454.5, 458.3, 462.4, 466.9, 471.2, 475.7, 480.3, 484.6, 488.6, 492.7, 497.2, 501.2, 505.7, 510.1, 514.7, 519.4, 523.9, 527.9, 532.3, 535.8, 539.9, 544.2, 548.1, 552.6, 556.9, 561.0, 565.0, 569.1, 572.7, 576.4, 580.0, 583.9, 587.8, 591.7, 596.0, 600.3, 604.5, 608.8, 613.3, 617.5, 621.7, 625.7, 629.9, 634.0, 638.0, 642.1, 646.3, 650.4, 654.7, 659.0, 663.2, 667.5, 671.6, 675.7, 679.4, 683.3, 687.2, 690.8, 694.2, 697.9, 701.3, 704.7, 708.3, 711.6, 714.8, 718.2, 721.7, 724.9, 728.1, 731.3]",
ACS-250,CC_ccwo,"[1.76216, 1.944843, 2.116592, 2.267891, 2.376308, 2.419204, 2.42597, 2.428309, 2.428027, 2.454355, 2.516174, 2.588605, 2.661047, 2.729382, 2.78672, 2.836109, 2.875347, 2.905589, 2.933096, 2.953988, 2.975703, 2.994371, 3.011989, 3.026748, 3.037128, 3.044207, 3.046072, 3.050209, 3.054929, 3.062866, 3.074397, 3.086607, 3.098045, 3.106606, 3.112706, 3.115561, 3.11637, 3.114236, 3.112077, 3.107793, 3.102966, 3.099067, 3.097924, 3.097396, 3.096652, 3.028642, 3.002004, 2.971654, 2.936811, 2.903415, 2.877619, 2.861242, 2.85073, 2.842978, 2.834902, 2.828494, 2.820899, 2.811923, 2.802867, 2.791026, 2.775577, 2.756996, 2.734086, 2.711378, 2.691965, 2.675142, 2.658287, 2.639782, 2.616891, 2.589989, 2.553578, 2.510671, 2.456793, 2.394411, 2.321464, 2.233229, 2.126834, 1.998875, 1.853213, 1.686049, 1.490476, 1.284159, 1.061535, 0.858142, 0.693363]",
ACS-250,CC_cwlngth,"[398.5, 401.8, 405.1, 408.9, 411.9, 415.3, 419.0, 423.3, 427.2, 431.3, 434.7, 438.4, 442.6, 446.9, 451.1, 455.5, 459.6, 463.8, 467.8, 472.6, 477.1, 481.8, 486.2, 490.4, 494.6, 498.6, 502.9, 507.4, 511.9, 516.6, 521.3, 525.8, 529.9, 534.1, 538.0, 542.3, 546.4, 550.7, 555.1, 559.4, 563.7, 567.6, 571.7, 575.4, 579.2, 583.0, 586.9, 591.0, 595.5, 599.9, 604.1, 608.5, 612.8, 617.5, 621.5, 625.7, 629.9, 633.9, 637.8, 642.0, 646.3, 650.4, 654.9, 659.1, 663.4, 667.3, 671.6, 675.8, 679.8, 683.5, 687.4, 691.1, 694.7, 698.4, 701.7, 705.2, 708.7, 712.1, 715.3, 718.9, 722.5, 725.4, 728.6, 731.9, 735.0]",
ACS-250,CC_taarray,SheetRef:CC_taarray,
ACS-250,CC_tbins,"[1.379162, 2.446508, 3.474865, 4.47129, 5.482609, 6.460435, 7.4856, 8.4836, 9.4788, 10.501538, 11.523333, 12.512083, 13.4925, 14.48375, 15.4856, 16.486667, 17.4708, 18.496923, 19.497826, 20.4864, 21.496, 22.5028, 23.5056, 24.5076, 25.502692, 26.502308, 27.508462, 28.518846, 29.504286, 30.497143, 31.490714, 32.484, 33.502571, 34.531489, 35.01]",
ACS-250,CC_tcal,19.1,
ACS-250,CC_tcarray,SheetRef:CC_tcarray,
