serial,name,value,notes
16-50634,CC_C1,1.023293e+003,
16-50634,CC_C2,-3.794850e-003,
16-50634,CC_C3,-1.120880e-004,
16-50634,CC_D1,4.182800e-002,
16-50634,CC_D2,0.000000e+000,
16-50634,CC_T1,2.758875e+001,
16-50634,CC_T2,-8.116990e-005,
16-50634,CC_T3,9.685380e-007,
16-50634,CC_T4,1.561150e-009,
16-50634,CC_T5,0.000000e+000,
16-50634,CC_a0,1.25413935e-003,
16-50634,CC_a1,2.67590114e-004,
16-50634,CC_a2,2.48891403e-007,
16-50634,CC_a3,1.25577402e-007,
16-50634,CC_cpcor,-9.57000000e-008,
16-50634,CC_ctcor,3.2500e-006,
16-50634,CC_g,-1.00449324e+000,
16-50634,CC_h,1.51189811e-001,
16-50634,CC_i,-5.93976273e-004,
16-50634,CC_j,7.25795216e-005,
