serial,name,value,notes
ACS-223,CC_acwo,"[-0.171082, -0.010025, 0.112274, 0.205188, 0.278894, 0.340809, 0.392218, 0.43117, 0.458167, 0.478425, 0.493462, 0.506863, 0.52063, 0.536157, 0.552498, 0.570556, 0.589882, 0.609697, 0.629931, 0.649928, 0.66966, 0.689476, 0.709428, 0.729371, 0.748834, 0.767702, 0.785618, 0.802736, 0.817863, 0.833626, 0.85088, 0.868555, 0.886383, 0.903976, 0.921172, 0.938599, 0.95538, 0.971533, 0.988091, 1.003837, 1.019266, 1.033232, 1.045739, 1.04919, 1.05783, 1.062497, 1.062778, 1.058572, 1.048082, 1.033974, 1.02169, 1.017102, 1.021378, 1.031102, 1.04238, 1.053722, 1.064492, 1.075048, 1.084779, 1.093047, 1.098879, 1.101038, 1.09983, 1.097635, 1.097437, 1.100609, 1.105052, 1.108859, 1.10934, 1.105694, 1.095678, 1.07737, 1.050219, 1.013341, 0.9649, 0.901371, 0.821424, 0.721426, 0.601445, 0.457607, 0.286336, 0.093203, -0.116068, -0.329519, -0.525156, -0.687625, -0.807092, -0.892842]",
ACS-223,CC_awlngth,"[400.7, 402.5, 404.6, 406.4, 408.4, 410.7, 413.7, 418.0, 423.1, 427.8, 432.2, 436.3, 439.6, 443.7, 447.9, 452.0, 456.0, 460.1, 464.5, 468.5, 473.3, 477.6, 482.5, 487.1, 491.3, 495.5, 499.8, 504.1, 508.8, 513.3, 518.2, 522.7, 527.0, 531.1, 535.1, 539.0, 543.5, 547.5, 551.9, 556.5, 561.0, 565.4, 569.3, 571.0, 575.1, 579.3, 582.9, 587.3, 591.3, 595.7, 600.3, 605.0, 609.5, 614.2, 619.0, 623.2, 627.2, 631.7, 635.5, 639.8, 644.1, 648.6, 652.7, 657.5, 661.4, 666.0, 670.1, 674.4, 678.3, 682.2, 685.9, 689.5, 693.2, 696.6, 700.0, 703.4, 707.1, 710.5, 714.0, 717.9, 720.9, 724.3, 727.8, 730.8, 734.6, 737.8, 740.8, 743.8]",
ACS-223,CC_ccwo,"[-1.173023, -1.035696, -0.894938, -0.704191, -0.544052, -0.411416, -0.318099, -0.267928, -0.237366, -0.212322, -0.182345, -0.123876, -0.051174, 0.027676, 0.104084, 0.175972, 0.238621, 0.297565, 0.340013, 0.386041, 0.4278, 0.465812, 0.502286, 0.538568, 0.570633, 0.597302, 0.622766, 0.643601, 0.660454, 0.681468, 0.704375, 0.731073, 0.757766, 0.786767, 0.816458, 0.841272, 0.865137, 0.884676, 0.905214, 0.916612, 0.931665, 0.943146, 0.952711, 0.956289, 0.960886, 0.956635, 0.95533, 0.942133, 0.926171, 0.909726, 0.890834, 0.879395, 0.879602, 0.884245, 0.892231, 0.900184, 0.908282, 0.916395, 0.922518, 0.927516, 0.930149, 0.931278, 0.927552, 0.920434, 0.915038, 0.912984, 0.913477, 0.914296, 0.912692, 0.904714, 0.893455, 0.872833, 0.845496, 0.809101, 0.761755, 0.70306, 0.626431, 0.532947, 0.423236, 0.287342, 0.129195, -0.052212, -0.257852, -0.472763, -0.682189, -0.870108, -1.022587, -1.101118]",
ACS-223,CC_cwlngth,"[401.8, 403.4, 405.1, 406.9, 408.7, 410.7, 413.7, 417.6, 422.4, 427.2, 432.2, 435.7, 439.4, 443.5, 447.4, 451.6, 455.7, 459.7, 463.4, 467.8, 472.4, 476.9, 481.8, 486.2, 490.2, 494.8, 498.8, 503.5, 508.0, 512.3, 517.1, 521.5, 526.0, 529.9, 534.1, 537.8, 542.1, 546.1, 550.7, 555.1, 559.4, 563.7, 567.8, 571.7, 575.8, 579.7, 583.6, 588.0, 592.2, 596.4, 600.9, 605.3, 609.8, 614.2, 618.9, 623.0, 627.0, 631.7, 635.7, 640.0, 643.8, 648.1, 652.2, 656.7, 660.9, 665.2, 669.1, 673.1, 677.5, 681.1, 684.8, 688.9, 691.9, 695.8, 699.2, 702.8, 706.2, 709.7, 712.9, 716.8, 720.0, 722.5, 726.0, 729.5, 732.3, 736.2, 739.1, 741.9]",
ACS-223,CC_taarray,SheetRef:CC_taarray,
ACS-223,CC_tbins,"[1.271894, 2.423553, 3.492973, 4.426207, 5.54, 6.465, 7.488696, 8.514, 9.464348, 10.487619, 11.475556, 12.522857, 13.44129, 14.54, 15.4112, 16.484706, 17.514375, 18.724419, 19.468333, 20.5004, 21.45, 22.554, 23.617, 24.362, 25.536429, 26.621136, 27.439688, 28.514167, 29.510435, 30.495, 31.586765, 32.496552, 33.467778, 34.491429, 35.0]",
ACS-223,CC_tcal,19.1,
ACS-223,CC_tcarray,SheetRef:CC_tcarray,
