serial,name,value,notes
ACS-221,CC_acwo,"[-2.410322, -2.220075, -2.04457, -1.899698, -1.788218, -1.699949, -1.621107, -1.543972, -1.467165, -1.392358, -1.320327, -1.25369, -1.195339, -1.143728, -1.094699, -1.046807, -0.998787, -0.948911, -0.898686, -0.848098, -0.79638, -0.744579, -0.695091, -0.646422, -0.59837, -0.551513, -0.505249, -0.46186, -0.420617, -0.38105, -0.341759, -0.302451, -0.263787, -0.225116, -0.188638, -0.154241, -0.120023, -0.086475, -0.053486, -0.021811, 0.009208, 0.039481, 0.067793, 0.093902, 0.1167, 0.131003, 0.147389, 0.1596, 0.167346, 0.170694, 0.171667, 0.17476, 0.181489, 0.197361, 0.216483, 0.238255, 0.259183, 0.279594, 0.299531, 0.319165, 0.337152, 0.353684, 0.367828, 0.378679, 0.386772, 0.3942, 0.401765, 0.412348, 0.425289, 0.435316, 0.442505, 0.44475, 0.440816, 0.431442, 0.413807, 0.384511, 0.342433, 0.293063, 0.229456, 0.143434, 0.041973, -0.063821, -0.182883, -0.322636, -0.475793, -0.64812, -0.845992, -1.008004, -1.139053, -1.250514]",
ACS-221,CC_awlngth,"[398.9, 401.0, 403.2, 405.5, 407.3, 409.3, 411.0, 413.9, 417.6, 422.4, 427.2, 432.2, 436.3, 439.8, 443.7, 448.3, 452.3, 456.7, 460.4, 464.5, 468.7, 474.1, 478.5, 483.2, 487.3, 492.0, 496.0, 500.7, 505.2, 509.7, 514.6, 519.2, 523.7, 528.0, 532.2, 536.0, 540.1, 544.0, 548.7, 552.9, 557.0, 561.5, 565.7, 569.8, 573.7, 576.4, 580.3, 584.2, 588.0, 592.3, 595.9, 600.3, 604.3, 608.3, 613.0, 617.0, 621.2, 625.5, 629.4, 633.0, 637.2, 641.0, 645.3, 649.1, 653.2, 657.7, 661.3, 665.0, 669.3, 673.7, 677.6, 681.4, 685.1, 687.9, 691.1, 694.7, 698.8, 702.1, 705.2, 708.4, 711.8, 715.2, 717.3, 720.6, 724.0, 725.9, 729.6, 732.4, 735.0, 737.8]",
ACS-221,CC_ccwo,"[-0.306013, -0.184523, -0.029473, 0.135117, 0.300298, 0.433693, 0.526658, 0.570286, 0.603704, 0.626494, 0.64982, 0.692028, 0.752513, 0.815415, 0.874025, 0.924983, 0.969775, 1.007752, 1.040081, 1.070808, 1.090884, 1.109143, 1.133372, 1.149743, 1.165515, 1.174611, 1.185771, 1.19443, 1.200811, 1.211131, 1.225743, 1.244571, 1.261587, 1.27651, 1.293748, 1.307982, 1.318205, 1.324514, 1.327206, 1.335058, 1.338084, 1.340916, 1.336719, 1.335643, 1.33116, 1.315989, 1.305754, 1.290161, 1.275358, 1.257454, 1.222975, 1.217393, 1.189725, 1.192914, 1.186727, 1.198029, 1.205358, 1.205736, 1.200899, 1.205769, 1.203446, 1.199515, 1.195657, 1.186911, 1.1747, 1.171087, 1.161678, 1.152086, 1.156949, 1.146554, 1.136491, 1.128538, 1.10075, 1.070128, 1.026533, 0.976707, 0.919102, 0.851655, 0.749352, 0.643315, 0.531642, 0.393475, 0.253748, 0.090988, -0.082667, -0.304582, -0.473434, -0.616279, -0.739174, -0.828874]",
ACS-221,CC_cwlngth,"[400.9, 402.8, 405.0, 406.9, 409.1, 410.9, 413.7, 417.4, 421.7, 427.0, 431.8, 435.7, 439.8, 443.7, 448.1, 452.0, 456.4, 460.1, 464.1, 468.9, 473.4, 478.3, 483.1, 487.6, 491.4, 496.0, 500.5, 504.8, 509.7, 514.4, 519.2, 523.7, 527.9, 532.0, 536.1, 540.1, 544.2, 548.5, 552.8, 556.9, 561.6, 565.6, 569.8, 573.6, 577.6, 581.0, 585.1, 589.0, 592.7, 596.6, 600.9, 605.0, 609.3, 614.2, 618.0, 622.0, 626.2, 630.2, 634.0, 638.0, 641.8, 646.0, 649.9, 654.0, 658.3, 662.3, 666.0, 670.5, 674.7, 678.5, 682.2, 685.8, 688.9, 692.1, 695.8, 699.6, 703.1, 705.8, 709.2, 712.9, 715.5, 717.9, 720.6, 724.0, 727.0, 731.1, 734.2, 735.9, 737.5, 741.9]",
ACS-221,CC_taarray,SheetRef:CC_taarray,
ACS-221,CC_tbins,"[0.437477, 1.42125, 2.436833, 3.459706, 4.4516, 5.481053, 6.5125, 7.503478, 8.4928, 9.49625, 10.478333, 11.484167, 12.502609, 13.4725, 14.496667, 15.5056, 16.501304, 17.4876, 18.4864, 19.4812, 20.5092, 21.505417, 22.508333, 23.495385, 24.510833, 25.513077, 26.502692, 27.4844, 28.485, 29.49625, 30.513704, 31.511667, 32.494138, 33.501724, 34.501613]",
ACS-221,CC_tcal,21.6,
ACS-221,CC_tcarray,SheetRef:CC_tcarray,
